datetime,prompton,beltzvilleCombined,fewalter
1990-03-16,125.42518837459635,131.04502973661852,493.1505951961682
1990-03-17,179.77610333692144,255.5378079864061,759.2100443755722
1990-03-18,192.31862217438106,291.5751911639762,1191.8925829400578
1990-03-19,139.36132041621815,239.1571792693288,980.9262520250757
1990-03-20,284.29709364908507,257.17587085811385,994.3635979432274
1990-03-21,210.43559382848943,230.96686491079015,912.3957878425019
1990-03-22,188.1377825618945,211.31011045029737,829.0842431499613
1990-03-23,175.5952637244349,201.48173322005096,739.0540254983447
1990-03-24,137.96770721205598,191.6533559898046,651.7112770303585
1990-03-25,119.85073555794762,185.10110450297367,595.2744241741212
1990-03-26,104.52099031216362,176.910790144435,544.2125096851447
1990-03-27,87.79763186221744,168.72047578589633,509.27541029795026
1990-03-28,79.43595263724436,163.80628717077315,477.0257800943861
1990-03-29,71.07427341227127,158.89209855564997,462.2446995844192
1990-03-30,75.2551130247578,175.27272727272725,497.1817989716137
1990-03-31,90.5848582705418,171.99660152931182,520.0252870324716
1990-04-01,112.5498668245043,158.0842433697348,646.9579535788066
1990-04-02,123.39804675939628,161.31045241809673,684.4426418762912
1990-04-03,580.377626516721,351.65678627145087,1118.9873617693522
1990-04-04,398.6706126072803,321.0078003120125,1482.7276704338315
1990-04-05,283.408700799053,306.48985959438374,1313.3524122007534
1990-04-06,211.53950873039364,277.45397815912634,1098.1625349374165
1990-04-07,161.3666765315182,259.7098283931357,942.6704945922955
1990-04-08,130.17815921870377,240.3525741029641,842.7113257990035
1990-04-09,111.1938443326428,219.38221528861155,730.25726090655
1990-04-10,185.77508138502517,211.3166926677067,706.6557904970227
1990-04-11,406.8067475584493,285.5195007800312,1116.2107181917609
1990-04-12,212.89553122225513,220.9953198127925,1055.124559484749
1990-04-13,157.29860905593372,206.4773790951638,884.3609794628752
1990-04-14,132.89020420242676,201.6380655226209,764.9653056264431
1990-04-15,136.95827167801124,245.19188767550702,770.5185927816259
1990-04-16,117.97395679195029,211.3166926677067,770.5185927816259
1990-04-17,116.61793430008879,195.18564742589703,709.4324340746142
1990-04-18,112.5498668245043,183.89391575663026,680.277676509904
1990-04-19,90.85350695472034,174.21528861154445,601.1433345485478
1990-04-20,82.71737200355135,170.98907956318251,552.5520719406975
1990-04-21,98.98964190588933,208.09048361934475,653.8995625227852
1990-04-22,89.49748446285884,180.66770670826833,680.277676509904
1990-04-23,80.00532701982836,166.14976599063962,584.4834730829991
1990-04-24,70.51316957679788,159.69734789391575,530.3389233199659
1990-04-25,77.29328203610537,158.0842433697348,502.5724875440515
1990-04-26,75.93725954424386,156.4711388455538,541.4454976303317
1990-04-27,62.37703462562889,148.40561622464898,517.8440272208045
1990-04-28,54.240899674459904,143.5663026521061,440.098007048244
1990-04-29,51.52885469073691,138.72698907956317,469.2527646129542
1990-04-30,55.5969221663214,141.9531981279251,456.7578685137927
1990-05-01,48.282537067545306,177.05059337913806,454.5882352941177
1990-05-02,43.2001647446458,166.63585259212994,416.47058823529414
1990-05-03,40.658978583196046,158.30405996252344,384.0
1990-05-04,47.01194398682043,162.46995627732667,419.29411764705884
1990-05-05,188.0477759472817,320.77401623985014,969.8823529411766
1990-05-06,105.45922570016474,210.37776389756405,878.1176470588235
1990-05-07,82.58855024711697,195.79712679575266,727.0588235294118
1990-05-08,73.69439868204283,189.5482823235478,508.2352941176471
1990-05-09,63.52965403624382,185.38238600874456,578.8235294117648
1990-05-10,368.47199341021417,479.07807620237355,1420.235294117647
1990-05-11,429.46046128500825,747.7783885071831,2789.6470588235297
1990-05-12,214.73023064250413,585.3084322298564,1900.235294117647
1990-05-13,458.6841021416804,516.5711430356027,1512.0
1990-05-14,658.167215815486,535.3176764522174,1571.294117647059
1990-05-15,299.85996705107084,443.66795752654593,1269.1764705882354
1990-05-16,387.5308896210873,754.0272329793879,1455.529411764706
1990-05-17,435.8134266886326,2520.3672704559654,3495.5294117647063
1990-05-18,318.91886326194395,1510.1374141161775,2429.6470588235297
1990-05-19,233.78912685337727,991.4833229231731,1728.0
1990-05-20,167.7182866556837,754.0272329793879,1341.1764705882354
1990-05-21,266.82454695222407,654.04572142411,1194.3529411764707
1990-05-22,193.13014827018122,554.064209868832,1098.3529411764707
1990-05-23,135.95345963756176,466.5803872579638,962.8235294117648
1990-05-24,110.54159802306425,412.4237351655216,859.764705882353
1990-05-25,90.21210873146623,372.84772017489075,762.3529411764706
1990-05-26,78.77677100494233,360.35003123048097,643.7647058823529
1990-05-27,82.58855024711697,335.3546533416615,663.529411764706
1990-05-28,82.58855024711697,297.86158650843225,636.7058823529412
1990-05-29,139.76523887973642,441.58500936914436,916.2352941176471
1990-05-30,218.54200988467875,697.7876327295442,2527.0588235294117
1990-05-31,105.45922570016474,476.9951280449719,1766.1176470588236
1990-06-01,107.17808219178082,309.22532467532466,1196.133414467179
1990-06-02,88.7568493150685,278.1474025974026,927.1023047082986
1990-06-03,75.35958904109589,256.39285714285717,782.0365102304709
1990-06-04,66.98630136986301,236.1922077922078,664.6650946984103
1990-06-05,61.96232876712328,215.99155844155845,589.4946375598996
1990-06-06,53.58904109589041,200.4525974025974,523.5556400699779
1990-06-07,78.70890410958904,206.6681818181818,709.503612991557
1990-06-08,56.938356164383556,184.91363636363636,680.4904540959915
1990-06-09,56.938356164383556,223.76103896103896,758.298471134099
1990-06-10,51.91438356164383,188.02142857142857,842.7003879211987
1990-06-11,48.56506849315068,167.82077922077923,725.3289723891382
1990-06-12,41.86643835616438,153.8357142857143,596.0885373088918
1990-06-13,38.51712328767123,144.51233766233767,490.58614132501714
1990-06-14,36.842465753424655,139.85064935064935,431.24104358408766
1990-06-15,36.842465753424655,150.72792207792207,418.0532440861033
1990-06-16,35.16780821917808,142.95844155844156,395.63398493952997
1990-06-17,33.49315068493151,132.08116883116884,365.302046094166
1990-06-18,36.842465753424655,138.29675324675324,499.81760097360615
1990-06-19,36.842465753424655,152.28181818181818,973.2596029512437
1990-06-20,30.143835616438356,135.18896103896103,854.5694074693847
1990-06-21,30.143835616438356,122.7577922077922,671.2589944474025
1990-06-22,28.469178082191778,116.54220779220779,509.0490606221952
1990-06-23,63.63698630136986,111.88051948051948,437.8349433330798
1990-06-24,43.54109589041096,107.21883116883117,392.99642503993306
1990-06-25,35.16780821917808,102.55714285714285,357.38936639537536
1990-06-26,36.842465753424655,99.44935064935065,327.0574275500114
1990-06-27,35.16780821917808,96.34155844155845,300.68182855404274
1990-06-28,30.143835616438356,91.67987012987012,288.8128090058569
1990-06-29,33.49315068493151,88.57207792207792,279.5813493572678
1990-06-30,56.938356164383556,91.67987012987012,349.4766866965848
1990-07-01,53.41237113402062,87.81998953427525,1148.9054850957268
1990-07-02,26.112714776632302,89.11145996860282,1030.3801599482997
1990-07-03,20.178006872852233,74.90528519099948,704.8306002100331
1990-07-04,18.99106529209622,68.44793301936159,499.3867032878262
1990-07-05,17.804123711340207,65.86499215070643,418.78948218757574
1990-07-06,18.99106529209622,63.28205128205128,360.3169884481784
1990-07-07,17.804123711340207,63.28205128205128,322.3888844010017
1990-07-08,16.617182130584194,60.69911041339613,300.26415704014863
1990-07-09,17.804123711340207,60.69911041339613,300.26415704014863
1990-07-10,18.99106529209622,59.40763997906855,290.7821310283545
1990-07-11,17.804123711340207,58.11616954474097,295.5231440342516
1990-07-12,187.53676975945018,134.312925170068,948.2026011794168
1990-07-13,134.12439862542956,179.5143903715332,2172.9642943694967
1990-07-14,58.16013745704468,107.1920460491889,1543.989902253817
1990-07-15,246.88384879725086,100.73469387755101,1172.610550125212
1990-07-16,248.07079037800688,107.1920460491889,1101.4953550367559
1990-07-17,96.14226804123712,87.81998953427525,932.3992244930932
1990-07-18,65.28178694158076,81.36263736263736,723.7946522336215
1990-07-19,51.03848797250859,77.48822605965462,572.0822360449148
1990-07-20,54.59931271477663,74.90528519099948,504.12771629372327
1990-07-21,58.16013745704468,82.65410779696494,579.9839243880766
1990-07-22,42.72989690721649,96.86028257456829,572.0822360449148
1990-07-23,35.608247422680414,78.7796964939822,491.4850149446644
1990-07-24,32.047422680412375,73.6138147566719,434.5928588738994
1990-07-25,27.299656357388315,68.44793301936159,414.0484691816787
1990-07-26,23.738831615120276,65.86499215070643,342.9332740932224
1990-07-27,23.738831615120276,61.990580847723706,308.16584538331045
1990-07-28,24.92577319587629,59.40763997906855,289.2017933597221
1990-07-29,22.551890034364263,56.82469911041339,268.65740366750146
1990-07-30,22.551890034364263,56.82469911041339,262.336052992972
1990-07-31,27.299656357388315,64.57352171637886,256.0147023184425
1990-08-01,30.035419126328215,76.07288449660285,229.7442799461642
1990-08-02,32.5383707201889,61.44348363187153,222.56477119784657
1990-08-03,31.286894923258558,57.05466337245213,206.76985195154776
1990-08-04,31.286894923258558,55.591723285979,199.59034320323013
1990-08-05,81.34592680047224,83.38758492896851,267.0777254374159
1990-08-06,192.72727272727272,150.68282890673257,554.2580753701211
1990-08-07,97.6151121605667,146.29400864731318,661.9507065948856
1990-08-08,62.573789846517116,103.86874613959235,541.3349596231494
1990-08-09,51.310507674144034,92.1652254478073,439.385935397039
1990-08-10,78.84297520661157,133.12754786905498,565.7452893674293
1990-08-11,85.10035419126328,215.05219271155036,706.4636608344549
1990-08-12,53.81345926800472,165.31222977146388,542.7708613728129
1990-08-13,51.310507674144034,178.47869054972207,636.1044751009421
1990-08-14,62.573789846517116,247.23687461395926,1412.9273216689098
1990-08-15,41.298701298701296,185.79339098208771,1009.438930013459
1990-08-16,33.789846517119244,165.31222977146388,740.9253028263795
1990-08-17,30.035419126328215,150.68282890673257,524.1041386271871
1990-08-18,26.28099173553719,137.51636812847437,437.9500336473755
1990-08-19,57.56788665879574,140.44224830142065,400.61658815612384
1990-08-20,53.81345926800472,137.51636812847437,380.51396366083446
1990-08-21,102.62101534828807,146.29400864731318,482.4629878869448
1990-08-22,91.35773317591499,152.1457689932057,582.9761103633916
1990-08-23,66.32821723730814,141.90518838789376,557.1298788694481
1990-08-24,107.62691853600944,311.606238418777,647.5916890982503
1990-08-25,78.84297520661157,253.0886349598518,653.3352960969045
1990-08-26,58.819362455726086,200.42279184681905,567.1811911170929
1990-08-27,52.56198347107438,201.88573193329216,528.4118438761776
1990-08-28,78.84297520661157,194.57103150092652,506.8733176312248
1990-08-29,177.7095631641086,169.70105003088327,729.4380888290714
1990-08-30,70.08264462809916,147.7569487337863,649.0275908479139
1990-08-31,50.05903187721369,134.59048795552812,485.3347913862719
1990-09-01,51.673780487804876,114.52124645892351,417.44740267423975
1990-09-02,47.11432926829268,109.25590179414543,440.9655662051828
1990-09-03,44.074695121951216,103.99055712936733,560.0262690805822
1990-09-04,39.515243902439025,96.0925401322002,443.9053366465507
1990-09-05,36.47560975609756,94.77620396600567,393.9292391432967
1990-09-06,34.95579268292683,92.14353163361662,383.64004259850907
1990-09-07,33.4359756097561,88.19452313503305,357.1821086261981
1990-09-08,30.396341463414632,84.24551463644949,330.72417465388713
1990-09-09,28.8765243902439,80.29650613786592,289.56738847473673
1990-09-10,47.11432926829268,81.61284230406044,296.91681457815645
1990-09-11,34.95579268292683,75.03116147308782,286.62761803336883
1990-09-12,30.396341463414632,73.7148253068933,270.4588806058455
1990-09-13,27.35670731707317,72.39848914069877,263.10945450242576
1990-09-14,27.35670731707317,71.08215297450425,255.76002839900605
1990-09-15,53.19359756097561,200.08309726156753,843.7141166725831
1990-09-16,36.47560975609756,114.52124645892351,755.5210034315465
1990-09-17,31.916158536585364,110.57223796033995,662.9182345284582
1990-09-18,33.4359756097561,89.51085930122758,514.4598272393799
1990-09-19,31.916158536585364,88.19452313503305,440.9655662051828
1990-09-20,39.515243902439025,98.72521246458923,504.1706306945924
1990-09-21,28.8765243902439,84.24551463644949,439.4956809844989
1990-09-22,27.35670731707317,103.99055712936733,435.0860253224471
1990-09-23,27.35670731707317,98.72521246458923,421.8570583362916
1990-09-24,25.836890243902438,86.87818696883853,385.109927819193
1990-09-25,22.797256097560975,82.92917847025497,351.3025677434623
1990-09-26,22.797256097560975,81.61284230406044,357.1821086261981
1990-09-27,24.317073170731707,81.61284230406044,370.41107561235356
1990-09-28,25.836890243902438,78.98016997167139,338.07360075730685
1990-09-29,27.35670731707317,75.03116147308782,308.675896343628
1990-09-30,24.317073170731707,75.03116147308782,302.7963554608922
1990-10-01,21.173082248684576,98.24680851063829,341.804740200547
1990-10-02,18.94433674882304,92.98358662613981,310.43135824977213
1990-10-03,17.829963998892275,91.22917933130698,284.0116681859617
1990-10-04,20.05870949875381,94.73799392097264,325.29243391066547
1990-10-05,27.859318748269178,101.75562310030395,409.50519598906106
1990-10-06,22.287454998615345,91.22917933130698,368.22443026435735
1990-10-07,20.05870949875381,87.72036474164133,338.5022789425707
1990-10-08,18.94433674882304,85.9659574468085,310.43135824977213
1990-10-09,18.94433674882304,82.45714285714286,313.7338195077484
1990-10-10,18.94433674882304,82.45714285714286,323.6412032816773
1990-10-11,22.287454998615345,84.21155015197567,397.946581586144
1990-10-12,78.00609249515371,96.49240121580547,726.5414767547858
1990-10-13,101.40792024369982,124.56291793313069,1073.299908842297
1990-10-14,79.12046524508447,126.31732522796352,1124.48805834093
1990-10-15,50.14677374688452,100.00121580547112,805.800546946217
1990-10-16,39.003046247576854,91.22917933130698,653.8873290793072
1990-10-17,35.65992799778455,87.72036474164133,564.7208751139472
1990-10-18,387.80171697590697,238.59939209726443,858.6399270738377
1990-10-19,404.5173082248685,392.98723404255315,2116.8776663628078
1990-10-20,142.6397119911382,249.12583586626138,1486.1075660893346
1990-10-21,101.40792024369982,207.02006079027353,1139.3491340018231
1990-10-22,88.0354472445306,189.47598784194528,927.99161349134
1990-10-23,561.6438659651067,335.0917933130699,1405.1972652689153
1990-10-24,724.3422874549987,521.0589665653495,2623.8054694621696
1990-10-25,323.1680974799225,422.81215805471123,1885.7053783044669
1990-10-26,190.5577402381612,352.6358662613982,1469.595259799453
1990-10-27,131.49598449183054,300.00364741641334,1174.0249772105744
1990-10-28,109.20852949321518,266.66990881458963,997.3432999088424
1990-10-29,98.06480199390751,243.8626139817629,878.4546946216956
1990-10-30,80.23483799501524,222.809726443769,794.2419325433
1990-10-31,70.20548324563833,210.5288753799392,741.4025524156791
1990-11-01,76.80849933598938,202.24756898817347,627.1576206689365
1990-11-02,71.32217795484728,191.41287779237845,601.8329661526136
1990-11-03,63.092695883134134,182.3839684625493,567.5701982775886
1990-11-04,57.606374501992036,175.16084099868596,543.7352293210495
1990-11-05,54.863213811420984,167.9377135348226,533.3074304025636
1990-11-06,207.10863213811422,184.18975032851512,890.8319647506509
1990-11-07,105.6116865869854,164.32614980289094,838.6929701582214
1990-11-08,91.89588313413014,155.29724047306178,750.8015221309834
1990-11-09,76.80849933598938,148.0741130091984,646.5235329461245
1990-11-10,1205.6191235059762,471.3090670170828,2064.7041858602042
1990-11-11,766.7134130146082,608.5484888304862,3828.4918886441014
1990-11-12,379.9277556440903,427.97030223390277,2417.7596635289406
